FECHA,AUTOR,TEXTO,ANALISIS DE SENTIMIENTO TBLOB
Tue Jun 02 21:24:29 +0000 2020,CalientitosTV Santiago Castro,santiagocastrot ATENCION Ecuador supera la barrera de los 40 mil contagios por covid19 segun el Gobierno Informe de este 2 de junio del 2020 sobre el coronavirus en el pais en Ecuador Guayaquil ,"('Neutro', 0)"
Tue Jun 02 21:15:03 +0000 2020,Grupo La Provincia,Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura via laprovinciabsas,"('Neutro', 0)"
Tue Jun 02 21:10:05 +0000 2020,Noticias de,Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura via Noticiasde ,"('Neutro', 0)"
Tue Jun 02 21:10:00 +0000 2020,Efecto Cocuyo, ElDato Peru fue el pais del mundo con mas periodistas en activo fallecidos por coronavirus con 15 muertes confirmadas seguido de Brasil y Mexico 13 cada uno y de Ecuador y Estados Unidos ambos con 12 fallecidos ,"('Neutro', 0)"
Tue Jun 02 21:10:00 +0000 2020,El Telegrafo Ecuador,El Ecuador registro este martes 2 de junio de 2020 un total de 40 414 casos confirmados por coronavirus El Ministerio de Salud informo la actualizacion de cifras en su reporte diario ,"('Neutro', 0)"
Tue Jun 02 21:08:40 +0000 2020,Paula Bustamante,Inmigrantes devastados por crisis en Chile Con el invierno austral a las puertas noches frias y contagios de coronavirus en alza trabajadores de Colombia Bolivia Ecuador Peru y Venezuela acampan en Santiago pablocozzaglio mbernetti AFP,"('Neutro', 0)"
Tue Jun 02 21:01:26 +0000 2020,ServiFumi, DESINFECCION DE CONTENEDORES DESINFECTAMOS TUS ESPACIOS Y VEHICULOS EVITA MOLESTIAS A FUTURO 16 anos en servicio para su tranquilidad Inf 0982434333 coronavirus Covid 19 Samborondon Ecuador guayaquil fumigacionguayaquil desinfeccionguayaquil ,"('Neutro', 0)"
Tue Jun 02 21:01:07 +0000 2020,La Demajagua, Coronavirus COVID 19 en el mundo Ecuador supera los 40 000 contagiados por coronavirus ,"('Neutro', 0)"
Tue Jun 02 20:52:00 +0000 2020,Luis J.,Coronavirus en Ecuador Por controles estrictos se llego a llamar Republica de Aguarico a poblacion oriental VIDEO ,"('Neutro', 0)"
Tue Jun 02 20:42:02 +0000 2020,El Popular, Coronavirus Ecuador reanuda vuelos comerciales en medio de la pandemia por COVID 19 ,"('Neutro', 0)"
Tue Jun 02 20:33:39 +0000 2020,clara medina,Al menos 62 periodistas murieron por coronavirus en America Latina Infobae Peru es el que ha registrado mas victimas 15 seguido de Brasil y Mexico 13 cada uno y de Ecuador y Estados Unidos ambos con 12 fallecidos ,"('Neutro', 0)"
Tue Jun 02 20:27:28 +0000 2020,Constanza Vieira ,En Peru han muerto de COVID 19 al menos 20 periodistas que estaban cubriendo el tema 12 en Guayaquil Ecuador 8 en Brasil 1 en Nicaragua En total en el mundo unos 117 en 31 paises segun PECpressemblem ,"('Neutro', 0)"
Tue Jun 02 20:00:00 +0000 2020,GKecuador,Para intentar capear la crisis la Asamblea aprobo el proyecto de Ley Organica de Apoyo Humanitario que plantea que empleadores y empleados lleguen a acuerdos para preservar el empleo Como sera el futuro del empleo en el pais ,"('Neutro', 0)"
Tue Jun 02 19:45:02 +0000 2020,Fuerza Ecuador,COVID 19 en el mundo Ecuador supera los 40 000 contagiados por coronavirus MashiRafael Presidencia ec,"('Neutro', 0)"
Tue Jun 02 19:36:46 +0000 2020,ztv,Importantes datos de CORONAVIRUS en Ecuador ,"('Neutro', 0)"
Tue Jun 02 19:34:10 +0000 2020,elyex.com, Coronavirus Es necesario usar Metodos de Desinfeccion en ciudades Coe N alerto sobre uso de amonio cuaternario en puntos de Desinfeccion elyex ,"('Neutro', 0)"
Tue Jun 02 19:32:57 +0000 2020,Ab. Ernesto Fuentes,De acuerdo bien pueden los Municipios asumir esas competencias y que trabajen en mayor coordinacion con las Juntas Parroquiales Seria mejor y ademas un ahorro para el Ecuador coronavirus AEcuadorLoSacamosTodos ,"('Neutro', 0)"
Tue Jun 02 19:31:17 +0000 2020,El Noticiero, VIDEO Cifras del coronavirus en el Ecuador Informe completo Miralo aqui ,"('Neutro', 0)"
Tue Jun 02 19:29:08 +0000 2020,Ab. Ernesto Fuentes,RafaelCompte De acuerdo bien pueden los Municipios asumir esas competencias y que trabajen en mayor coordinacion con las Juntas Parroquiales Seria mejor y ademas un ahorro para el Ecuador coronavirus,"('Neutro', 0)"
Tue Jun 02 19:17:50 +0000 2020,Magalis CDI Santos Michelena,COVID 19 en el mundo Ecuador supera los 40 000 contagiados por coronavirus cubacooperaara Cubacoopera Ve1 cubacooperaara1 Orlando96823683 FigueroaSuyin MINSAPCuba,"('Neutro', 0)"
Tue Jun 02 19:14:49 +0000 2020,TN23,En las ultimas 24 horas se reportaron 110 fallecimientos mas asociados a la pandemia ,"('Neutro', 0)"
Tue Jun 02 19:13:45 +0000 2020,Ecupunto, ULTIMAHORA 4 000 es la cifra de pacientes que vencieron al coronavirus covid 19 en Ecuador 2Jun FelizMartes Covid19Ec Ecuador Salud Ec DrJuanCZevallos ,"('Neutro', 0)"
Tue Jun 02 19:11:33 +0000 2020,Ecuador Anarquia, Ecuador en emergencia y con un pesimo gobierno CoronaVirus CoronavirusEnEcuador Guayaquil CoronavirusEc Lenin LeninMoreno lenin ElPeorPresidentedeLaHistoria ElPeorGobiernoDeLaHistoria Lenin Moreno mal gobierno mediocre Miserable moreno ,"('Negativo', -1)"
Tue Jun 02 19:09:37 +0000 2020,El Noticiero, ATENCION Conoce la situacion de los 40 414 casos confirmados de coronavirus en Ecuador Cuantos tienen aislamiento domiciliario Detalles ,"('Neutro', 0)"
Tue Jun 02 19:08:14 +0000 2020,Omar Segarr B.,Es en serio A tal punto ha llegado la justicia de Ecuador Covid 19 Quito coronavirus racismo EcuadorEnCrisis ,"('Neutro', 0)"
Tue Jun 02 19:06:52 +0000 2020,MarketingActivo, COVID19 Actualizacion de cifras en Ecuador y Top 10 de datos de coronavirus en el mundo DisciplinaParaVolver SemaforoEc QuedateEnCasa Covid19 ,"('Positivo', 1)"
Tue Jun 02 19:02:53 +0000 2020,Venezuela..Libre,Ecuador reanuda vuelos y flexibiliza cuarentena Ecuador duramente afectado por el coronavirus reanudo el lunes 1 de junio los vuelos comerciales domesticos y retomara los internacionales en el correr de la ,"('Neutro', 0)"
Tue Jun 02 19:00:51 +0000 2020,Brenp.com,40 414 casos confirmados de coronavirus en Ecuador ,"('Neutro', 0)"
Tue Jun 02 19:00:32 +0000 2020,elyex.com,12 periodistas han fallecido por Covid 19 en Ecuador segun Campana Emblema de Prensa elyex ,"('Neutro', 0)"
Tue Jun 02 18:55:16 +0000 2020,Omar Saverio,40414 casos confirmados de coronavirus en Ecuador eso se veria mas bonito si fuera el numero de antisociales acribillados por las fuerzas armadas y la policia Ahi podria decir que estaria orgulloso de mi pais La gente dice Pero si matas uno nacen 10 pues se seguira matando,"('Neutro', 0)"
